,SSID,Capabilities,BSSID,Level,Timestamp,Venue Name
7,HOTBOX-61A6,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:97:c3,-91,7 days,
8,Roika2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7e:b3:3e,-94,7 days,
9,Avraham_ortal,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],d8:fb:5e:17:44:8d,-94,7 days,
0,bemeshIKKF,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:b8:c2:54:79:0b,-81,7 days,
1,bemeshIKKF,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:b8:c2:54:79:0c,-85,7 days,
2,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],62:b8:c2:54:79:0d,-85,7 days,
3,Home-5GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7d:f7:47,-88,7 days,
4,HOTBOX-5A2A,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],70:0b:01:ec:5a:30,-89,7 days,
5,HOTBOX-61B2,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b1:ec,-89,7 days,
6,rm -rf,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],7c:03:4c:fe:ec:48,-91,7 days,
7,HOTBOX-61A6,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:97:c3,-91,7 days,
8,Roika2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7e:b3:3e,-94,7 days,
9,Avraham_ortal,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],d8:fb:5e:17:44:8d,-94,7 days,
0,bemeshIKKF,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:b8:c2:54:79:0b,-81,7 days,
1,bemeshIKKF,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:b8:c2:54:79:0c,-85,7 days,
2,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],62:b8:c2:54:79:0d,-85,7 days,
3,Home-5GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7d:f7:47,-88,7 days,
4,HOTBOX-5A2A,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],70:0b:01:ec:5a:30,-89,7 days,
5,HOTBOX-61B2,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b1:ec,-89,7 days,
6,rm -rf,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],7c:03:4c:fe:ec:48,-91,7 days,
7,HOTBOX-61A6,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:97:c3,-91,7 days,
8,Roika2.4,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7e:b3:3e,-94,7 days,
9,Avraham_ortal,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],d8:fb:5e:17:44:8d,-94,7 days,
0,bemeshIKKF,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:b8:c2:54:79:0b,-81,7 days,
1,bemeshIKKF,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],00:b8:c2:54:79:0c,-85,7 days,
2,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],62:b8:c2:54:79:0d,-85,7 days,
3,Home-5GHz,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],98:1e:19:7d:f7:47,-88,7 days,
4,HOTBOX-5A2A,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],70:0b:01:ec:5a:30,-89,7 days,
5,HOTBOX-61B2,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:b1:ec,-89,7 days,
6,rm -rf,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],7c:03:4c:fe:ec:48,-91,7 days,
7,HOTBOX-61A6,[WPA2-PSK-CCMP+TKIP][RSN-PSK-CCMP+TKIP][WPA-PSK-CCMP+TKIP][ESS],c0:ac:54:f8:97:c3,-91,7 days,
